system_id;cycle_id;ops_01;ops_02;ops_03;sensor_01;sensor_02;sensor_03;sensor_04;sensor_05;sensor_06;sensor_07;sensor_08;sensor_09;sensor_10;sensor_11;sensor_12;sensor_13;sensor_14;sensor_15;sensor_16;sensor_17;sensor_18;sensor_19;sensor_20;sensor_21;conditions;state;RUL
1;1;-0.0007;-0.0004;100.0;518.67;641.82;1589.7;1400.6;14.62;21.61;554.36;2388.06;9046.19;1.3;47.47;521.66;2388.02;8138.62;8.4195;0.03;392;2388;100.0;39.06;23.419;C1;ok;(185,196]
1;2;0.0019;-0.0003;100.0;518.67;642.15;1591.82;1403.14;14.62;21.61;553.75;2388.04;9044.07;1.3;47.49;522.28;2388.07;8131.49;8.4318;0.03;392;2388;100.0;39.0;23.4236;C1;ok;(185,196]
1;3;-0.0043;0.0003;100.0;518.67;642.35;1587.99;1404.2;14.62;21.61;554.26;2388.08;9052.94;1.3;47.27;522.42;2388.03;8133.23;8.4178;0.03;390;2388;100.0;38.95;23.3442;C1;ok;(185,196]
1;4;0.0007;0.0;100.0;518.67;642.35;1582.79;1401.87;14.62;21.61;554.45;2388.11;9049.48;1.3;47.13;522.86;2388.08;8133.83;8.3682;0.03;392;2388;100.0;38.88;23.3739;C1;ok;(185,196]
1;5;-0.0019;-0.0002;100.0;518.67;642.37;1582.85;1406.22;14.62;21.61;554.0;2388.06;9055.15;1.3;47.28;522.19;2388.04;8133.8;8.4294;0.03;393;2388;100.0;38.9;23.4044;C1;ok;(180,185]
1;6;-0.0043;-0.0001;100.0;518.67;642.1;1584.47;1398.37;14.62;21.61;554.67;2388.02;9049.68;1.3;47.16;521.68;2388.03;8132.85;8.4108;0.03;391;2388;100.0;38.98;23.3669;C1;ok;(180,185]
1;7;0.001;0.0001;100.0;518.67;642.48;1592.32;1397.77;14.62;21.61;554.34;2388.02;9059.13;1.3;47.36;522.32;2388.03;8132.32;8.3974;0.03;392;2388;100.0;39.1;23.3774;C1;ok;(180,185]
1;8;-0.0034;0.0003;100.0;518.67;642.56;1582.96;1400.97;14.62;21.61;553.85;2388.0;9040.8;1.3;47.24;522.47;2388.03;8131.07;8.4076;0.03;391;2388;100.0;38.97;23.3106;C1;ok;(180,185]
1;9;0.0008;0.0001;100.0;518.67;642.12;1590.98;1394.8;14.62;21.61;553.69;2388.05;9046.46;1.3;47.29;521.79;2388.05;8125.69;8.3728;0.03;392;2388;100.0;39.05;23.4066;C1;ok;(180,185]
1;10;-0.0033;0.0001;100.0;518.67;641.71;1591.24;1400.46;14.62;21.61;553.59;2388.05;9051.7;1.3;47.03;521.79;2388.06;8129.38;8.4286;0.03;393;2388;100.0;38.95;23.4694;C1;ok;(170,180]
